brand,model,horsepower,cylinders,displacement,weight,acceleration,model year,origin,power_to_weight,car_age,hp_per_cylinder
Mercedes-Benz,300-Class,121.0,5.0,200,3000,15,80,1,0.04033333333333333,1946,24.2
Mercedes-Benz,300-Class,148.0,6.0,200,3000,15,80,1,0.04933333333333333,1946,24.666666666666668
Mercedes-Benz,300-Class,194.0,6.0,200,3000,15,80,1,0.06466666666666666,1946,32.333333333333336
Mitsubishi,3000GT,218.0,6.0,200,3000,15,80,1,0.07266666666666667,1946,36.333333333333336
Mitsubishi,3000GT,161.0,6.0,200,3000,15,80,1,0.05366666666666667,1946,26.833333333333332
Mitsubishi,3000GT,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
Chrysler,300,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
Chrysler,300,292.0,6.0,200,3000,15,80,1,0.09733333333333333,1946,48.666666666666664
Chrysler,300M,250.0,6.0,200,3000,15,80,1,0.08333333333333333,1946,41.666666666666664
Chrysler,300M,255.0,6.0,200,3000,15,80,1,0.085,1946,42.5
Nissan,300ZX,222.0,6.0,200,3000,15,80,1,0.074,1946,37.0
Nissan,300ZX,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
Mazda,323,82.0,4.0,200,3000,15,80,1,0.027333333333333334,1946,20.5
Mercedes-Benz,350-Class,134.0,6.0,200,3000,15,80,1,0.04466666666666667,1946,22.333333333333332
Nissan,350Z,306.0,6.0,200,3000,15,80,1,0.102,1946,51.0
Ferrari,360,400.0,8.0,200,3000,15,80,1,0.13333333333333333,1946,50.0
Ferrari,360,425.0,8.0,200,3000,15,80,1,0.14166666666666666,1946,53.125
Nissan,370Z,350.0,6.0,200,3000,15,80,1,0.11666666666666667,1946,58.333333333333336
Nissan,370Z,332.0,6.0,200,3000,15,80,1,0.11066666666666666,1946,55.333333333333336
Mazda,3,184.0,4.0,200,3000,15,80,1,0.06133333333333333,1946,46.0
Mazda,3,155.0,4.0,200,3000,15,80,1,0.051666666666666666,1946,38.75
BMW,4 Series Gran Coupe,240.0,4.0,200,3000,15,80,1,0.08,1946,60.0
BMW,4 Series Gran Coupe,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
BMW,4 Series Gran Coupe,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
BMW,4 Series Gran Coupe,248.0,4.0,200,3000,15,80,1,0.08266666666666667,1946,62.0
BMW,4 Series,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
BMW,4 Series,240.0,4.0,200,3000,15,80,1,0.08,1946,60.0
BMW,4 Series,248.0,4.0,200,3000,15,80,1,0.08266666666666667,1946,62.0
BMW,4 Series,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
Mercedes-Benz,400-Class,268.0,8.0,200,3000,15,80,1,0.08933333333333333,1946,33.5
Mercedes-Benz,400-Class,282.0,8.0,200,3000,15,80,1,0.094,1946,35.25
Mercedes-Benz,400-Class,275.0,8.0,200,3000,15,80,1,0.09166666666666666,1946,34.375
Mercedes-Benz,420-Class,201.0,8.0,200,3000,15,80,1,0.067,1946,25.125
Ferrari,456M,442.0,12.0,200,3000,15,80,1,0.14733333333333334,1946,36.833333333333336
Ferrari,458 Italia,562.0,8.0,200,3000,15,80,1,0.18733333333333332,1946,70.25
Ferrari,458 Italia,597.0,8.0,200,3000,15,80,1,0.199,1946,74.625
Alfa Romeo,4C,237.0,4.0,200,3000,15,80,1,0.079,1946,59.25
Toyota,4Runner,270.0,6.0,200,3000,15,80,1,0.09,1946,45.0
BMW,5 Series Gran Turismo,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
BMW,5 Series Gran Turismo,445.0,8.0,200,3000,15,80,1,0.14833333333333334,1946,55.625
BMW,5 Series,443.0,8.0,200,3000,15,80,1,0.14766666666666667,1946,55.375
BMW,5 Series,302.0,6.0,200,3000,15,80,1,0.10066666666666667,1946,50.333333333333336
BMW,5 Series,255.0,6.0,200,3000,15,80,1,0.085,1946,42.5
BMW,5 Series,241.0,4.0,200,3000,15,80,1,0.08033333333333334,1946,60.25
BMW,5 Series,240.0,4.0,200,3000,15,80,1,0.08,1946,60.0
Mercedes-Benz,500-Class,322.0,8.0,200,3000,15,80,1,0.10733333333333334,1946,40.25
Mercedes-Benz,500-Class,315.0,8.0,200,3000,15,80,1,0.105,1946,39.375
FIAT,500,160.0,4.0,200,3000,15,80,1,0.05333333333333334,1946,40.0
FIAT,500,101.0,4.0,200,3000,15,80,1,0.033666666666666664,1946,25.25
FIAT,500,135.0,4.0,200,3000,15,80,1,0.045,1946,33.75
FIAT,500L,160.0,4.0,200,3000,15,80,1,0.05333333333333334,1946,40.0
FIAT,500X,180.0,4.0,200,3000,15,80,1,0.06,1946,45.0
FIAT,500X,160.0,4.0,200,3000,15,80,1,0.05333333333333334,1946,40.0
Ferrari,550,485.0,12.0,200,3000,15,80,1,0.16166666666666665,1946,40.416666666666664
Mercedes-Benz,560-Class,238.0,8.0,200,3000,15,80,1,0.07933333333333334,1946,29.75
McLaren,570S,562.0,8.0,200,3000,15,80,1,0.18733333333333332,1946,70.25
Ferrari,575M,515.0,12.0,200,3000,15,80,1,0.17166666666666666,1946,42.916666666666664
Maybach,57,543.0,12.0,200,3000,15,80,1,0.181,1946,45.25
Maybach,57,631.0,12.0,200,3000,15,80,1,0.21033333333333334,1946,52.583333333333336
Maybach,57,604.0,12.0,200,3000,15,80,1,0.20133333333333334,1946,50.333333333333336
Maybach,57,620.0,12.0,200,3000,15,80,1,0.20666666666666667,1946,51.666666666666664
Ferrari,599,611.0,12.0,200,3000,15,80,1,0.20366666666666666,1946,50.916666666666664
Ferrari,599,661.0,12.0,200,3000,15,80,1,0.22033333333333333,1946,55.083333333333336
Mazda,5,157.0,4.0,200,3000,15,80,1,0.052333333333333336,1946,39.25
BMW,6 Series Gran Coupe,445.0,8.0,200,3000,15,80,1,0.14833333333333334,1946,55.625
BMW,6 Series Gran Coupe,315.0,6.0,200,3000,15,80,1,0.105,1946,52.5
BMW,6 Series,445.0,8.0,200,3000,15,80,1,0.14833333333333334,1946,55.625
BMW,6 Series,315.0,6.0,200,3000,15,80,1,0.105,1946,52.5
Mercedes-Benz,600-Class,402.0,12.0,200,3000,15,80,1,0.134,1946,33.5
Mercedes-Benz,600-Class,389.0,12.0,200,3000,15,80,1,0.12966666666666668,1946,32.416666666666664
Pontiac,6000,140.0,6.0,200,3000,15,80,1,0.04666666666666667,1946,23.333333333333332
Pontiac,6000,110.0,4.0,200,3000,15,80,1,0.03666666666666667,1946,27.5
Ferrari,612 Scaglietti,532.0,12.0,200,3000,15,80,1,0.17733333333333334,1946,44.333333333333336
Mazda,626,170.0,6.0,200,3000,15,80,1,0.056666666666666664,1946,28.333333333333332
Mazda,626,130.0,4.0,200,3000,15,80,1,0.043333333333333335,1946,32.5
Mazda,626,165.0,6.0,200,3000,15,80,1,0.055,1946,27.5
Mazda,626,125.0,4.0,200,3000,15,80,1,0.041666666666666664,1946,31.25
Maybach,62,604.0,12.0,200,3000,15,80,1,0.20133333333333334,1946,50.333333333333336
Maybach,62,543.0,12.0,200,3000,15,80,1,0.181,1946,45.25
Maybach,62,631.0,12.0,200,3000,15,80,1,0.21033333333333334,1946,52.583333333333336
Maybach,62,620.0,12.0,200,3000,15,80,1,0.20666666666666667,1946,51.666666666666664
McLaren,650S Coupe,641.0,8.0,200,3000,15,80,1,0.21366666666666667,1946,80.125
McLaren,650S Spider,641.0,8.0,200,3000,15,80,1,0.21366666666666667,1946,80.125
Mazda,6,184.0,4.0,200,3000,15,80,1,0.06133333333333333,1946,46.0
BMW,7 Series,535.0,12.0,200,3000,15,80,1,0.17833333333333334,1946,44.583333333333336
BMW,7 Series,315.0,6.0,200,3000,15,80,1,0.105,1946,52.5
BMW,7 Series,445.0,8.0,200,3000,15,80,1,0.14833333333333334,1946,55.625
BMW,7 Series,255.0,6.0,200,3000,15,80,1,0.085,1946,42.5
BMW,7 Series,320.0,6.0,200,3000,15,80,1,0.10666666666666667,1946,53.333333333333336
Porsche,718 Cayman,300.0,4.0,200,3000,15,80,1,0.1,1946,75.0
Porsche,718 Cayman,350.0,4.0,200,3000,15,80,1,0.11666666666666667,1946,87.5
Volvo,740,114.0,4.0,200,3000,15,80,1,0.038,1946,28.5
Volvo,740,153.0,4.0,200,3000,15,80,1,0.051,1946,38.25
Volvo,740,162.0,4.0,200,3000,15,80,1,0.054,1946,40.5
Volvo,760,144.0,6.0,200,3000,15,80,1,0.048,1946,24.0
Volvo,760,162.0,4.0,200,3000,15,80,1,0.054,1946,40.5
Volvo,780,188.0,4.0,200,3000,15,80,1,0.06266666666666666,1946,47.0
Volvo,780,144.0,6.0,200,3000,15,80,1,0.048,1946,24.0
BMW,8 Series,282.0,8.0,200,3000,15,80,1,0.094,1946,35.25
BMW,8 Series,322.0,12.0,200,3000,15,80,1,0.10733333333333334,1946,26.833333333333332
BMW,8 Series,372.0,12.0,200,3000,15,80,1,0.124,1946,31.0
Audi,80,108.0,4.0,200,3000,15,80,1,0.036,1946,27.0
Audi,80,130.0,5.0,200,3000,15,80,1,0.043333333333333335,1946,26.0
Volvo,850,222.0,5.0,200,3000,15,80,1,0.074,1946,44.4
Volvo,850,168.0,5.0,200,3000,15,80,1,0.056,1946,33.6
Volvo,850,240.0,5.0,200,3000,15,80,1,0.08,1946,48.0
Volvo,850,190.0,5.0,200,3000,15,80,1,0.06333333333333334,1946,38.0
Toyota,86,205.0,4.0,200,3000,15,80,1,0.06833333333333333,1946,51.25
Toyota,86,200.0,4.0,200,3000,15,80,1,0.06666666666666667,1946,50.0
Saab,9-2X,227.0,4.0,200,3000,15,80,1,0.07566666666666666,1946,56.75
Saab,9-2X,165.0,4.0,200,3000,15,80,1,0.055,1946,41.25
Saab,9-2X,230.0,4.0,200,3000,15,80,1,0.07666666666666666,1946,57.5
Saab,9-2X,173.0,4.0,200,3000,15,80,1,0.057666666666666665,1946,43.25
Saab,9-3 Griffin,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
Saab,9-3,210.0,4.0,200,3000,15,80,1,0.07,1946,52.5
Saab,9-3,280.0,6.0,200,3000,15,80,1,0.09333333333333334,1946,46.666666666666664
Saab,9-3,207.0,4.0,200,3000,15,80,1,0.069,1946,51.75
Saab,9-4X,265.0,6.0,200,3000,15,80,1,0.08833333333333333,1946,44.166666666666664
Saab,9-4X,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
Saab,9-5,260.0,4.0,200,3000,15,80,1,0.08666666666666667,1946,65.0
Saab,9-5,300.0,6.0,200,3000,15,80,1,0.1,1946,50.0
Saab,9-5,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
Saab,9-7X,290.0,6.0,200,3000,15,80,1,0.09666666666666666,1946,48.333333333333336
Saab,9-7X,300.0,8.0,200,3000,15,80,1,0.1,1946,37.5
Saab,9-7X,285.0,6.0,200,3000,15,80,1,0.095,1946,47.5
Saab,9-7X,390.0,8.0,200,3000,15,80,1,0.13,1946,48.75
Saab,9000,225.0,4.0,200,3000,15,80,1,0.075,1946,56.25
Saab,9000,210.0,6.0,200,3000,15,80,1,0.07,1946,35.0
Saab,9000,170.0,4.0,200,3000,15,80,1,0.056666666666666664,1946,42.5
Saab,9000,200.0,4.0,200,3000,15,80,1,0.06666666666666667,1946,50.0
Saab,900,185.0,4.0,200,3000,15,80,1,0.06166666666666667,1946,46.25
Saab,900,150.0,4.0,200,3000,15,80,1,0.05,1946,37.5
Saab,900,170.0,6.0,200,3000,15,80,1,0.056666666666666664,1946,28.333333333333332
Audi,90,172.0,6.0,200,3000,15,80,1,0.05733333333333333,1946,28.666666666666668
Porsche,911,350.0,6.0,200,3000,15,80,1,0.11666666666666667,1946,58.333333333333336
Porsche,911,430.0,6.0,200,3000,15,80,1,0.14333333333333334,1946,71.66666666666667
Porsche,911,400.0,6.0,200,3000,15,80,1,0.13333333333333333,1946,66.66666666666667
Porsche,911,520.0,6.0,200,3000,15,80,1,0.17333333333333334,1946,86.66666666666667
Porsche,911,560.0,6.0,200,3000,15,80,1,0.18666666666666668,1946,93.33333333333333
Porsche,911,475.0,6.0,200,3000,15,80,1,0.15833333333333333,1946,79.16666666666667
Porsche,911,500.0,6.0,200,3000,15,80,1,0.16666666666666666,1946,83.33333333333333
Porsche,911,540.0,6.0,200,3000,15,80,1,0.18,1946,90.0
Porsche,911,370.0,6.0,200,3000,15,80,1,0.12333333333333334,1946,61.666666666666664
Porsche,911,580.0,6.0,200,3000,15,80,1,0.19333333333333333,1946,96.66666666666667
Porsche,911,420.0,6.0,200,3000,15,80,1,0.14,1946,70.0
Porsche,928,345.0,8.0,200,3000,15,80,1,0.115,1946,43.125
Mazda,929,195.0,6.0,200,3000,15,80,1,0.065,1946,32.5
Mazda,929,193.0,6.0,200,3000,15,80,1,0.06433333333333334,1946,32.166666666666664
Volvo,940,114.0,4.0,200,3000,15,80,1,0.038,1946,28.5
Volvo,940,162.0,4.0,200,3000,15,80,1,0.054,1946,40.5
Porsche,944,208.0,4.0,200,3000,15,80,1,0.06933333333333333,1946,52.0
Volvo,960,181.0,6.0,200,3000,15,80,1,0.060333333333333336,1946,30.166666666666668
Porsche,968,236.0,4.0,200,3000,15,80,1,0.07866666666666666,1946,59.0
Audi,A3,150.0,4.0,200,3000,15,80,1,0.05,1946,37.5
Audi,A3,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
Audi,A3,170.0,4.0,200,3000,15,80,1,0.056666666666666664,1946,42.5
Audi,A3,186.0,4.0,200,3000,15,80,1,0.062,1946,46.5
Audi,A4 allroad,252.0,4.0,200,3000,15,80,1,0.084,1946,63.0
Audi,A4,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
Audi,A4,252.0,4.0,200,3000,15,80,1,0.084,1946,63.0
Audi,A4,190.0,4.0,200,3000,15,80,1,0.06333333333333334,1946,47.5
Audi,A5,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
Audi,A6,240.0,6.0,200,3000,15,80,1,0.08,1946,40.0
Audi,A6,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
Audi,A6,310.0,6.0,200,3000,15,80,1,0.10333333333333333,1946,51.666666666666664
Audi,A6,252.0,4.0,200,3000,15,80,1,0.084,1946,63.0
Audi,A6,333.0,6.0,200,3000,15,80,1,0.111,1946,55.5
Audi,A6,340.0,6.0,200,3000,15,80,1,0.11333333333333333,1946,56.666666666666664
Audi,A7,310.0,6.0,200,3000,15,80,1,0.10333333333333333,1946,51.666666666666664
Audi,A7,240.0,6.0,200,3000,15,80,1,0.08,1946,40.0
Audi,A7,333.0,6.0,200,3000,15,80,1,0.111,1946,55.5
Audi,A8,240.0,6.0,200,3000,15,80,1,0.08,1946,40.0
Audi,A8,500.0,12.0,200,3000,15,80,1,0.16666666666666666,1946,41.666666666666664
Audi,A8,450.0,8.0,200,3000,15,80,1,0.15,1946,56.25
Audi,A8,333.0,6.0,200,3000,15,80,1,0.111,1946,55.5
GMC,Acadia Limited,281.0,6.0,200,3000,15,80,1,0.09366666666666666,1946,46.833333333333336
GMC,Acadia,281.0,6.0,200,3000,15,80,1,0.09366666666666666,1946,46.833333333333336
GMC,Acadia,288.0,6.0,200,3000,15,80,1,0.096,1946,48.0
GMC,Acadia,194.0,4.0,200,3000,15,80,1,0.06466666666666666,1946,48.5
GMC,Acadia,310.0,6.0,200,3000,15,80,1,0.10333333333333333,1946,51.666666666666664
Hyundai,Accent,138.0,4.0,200,3000,15,80,1,0.046,1946,34.5
Hyundai,Accent,137.0,4.0,200,3000,15,80,1,0.04566666666666667,1946,34.25
Plymouth,Acclaim,100.0,4.0,200,3000,15,80,1,0.03333333333333333,1946,25.0
Plymouth,Acclaim,106.0,4.0,200,3000,15,80,1,0.035333333333333335,1946,26.5
Honda,Accord Crosstour,271.0,6.0,200,3000,15,80,1,0.09033333333333333,1946,45.166666666666664
Honda,Accord Hybrid,195.0,4.0,200,3000,15,80,1,0.065,1946,48.75
Honda,Accord Hybrid,196.0,4.0,200,3000,15,80,1,0.06533333333333333,1946,49.0
Honda,Accord Hybrid,212.0,4.0,200,3000,15,80,1,0.07066666666666667,1946,53.0
Honda,Accord Plug-In Hybrid,196.0,4.0,200,3000,15,80,1,0.06533333333333333,1946,49.0
Honda,Accord,278.0,6.0,200,3000,15,80,1,0.09266666666666666,1946,46.333333333333336
Honda,Accord,185.0,4.0,200,3000,15,80,1,0.06166666666666667,1946,46.25
Honda,Accord,189.0,4.0,200,3000,15,80,1,0.063,1946,47.25
Oldsmobile,Achieva,150.0,4.0,200,3000,15,80,1,0.05,1946,37.5
Oldsmobile,Achieva,150.0,6.0,200,3000,15,80,1,0.05,1946,25.0
BMW,ActiveHybrid 5,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
BMW,ActiveHybrid 7,350.0,6.0,200,3000,15,80,1,0.11666666666666667,1946,58.333333333333336
BMW,ActiveHybrid 7,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
BMW,ActiveHybrid X6,480.0,8.0,200,3000,15,80,1,0.16,1946,60.0
Suzuki,Aerio,155.0,4.0,200,3000,15,80,1,0.051666666666666666,1946,38.75
Ford,Aerostar,135.0,6.0,200,3000,15,80,1,0.045,1946,22.5
Ford,Aerostar,155.0,6.0,200,3000,15,80,1,0.051666666666666666,1946,25.833333333333332
Ford,Aerostar,140.0,6.0,200,3000,15,80,1,0.04666666666666667,1946,23.333333333333332
Ford,Aerostar,152.0,6.0,200,3000,15,80,1,0.050666666666666665,1946,25.333333333333332
Oldsmobile,Alero,170.0,6.0,200,3000,15,80,1,0.056666666666666664,1946,28.333333333333332
Oldsmobile,Alero,140.0,4.0,200,3000,15,80,1,0.04666666666666667,1946,35.0
Cadillac,Allante,200.0,8.0,200,3000,15,80,1,0.06666666666666667,1946,25.0
Cadillac,Allante,295.0,8.0,200,3000,15,80,1,0.09833333333333333,1946,36.875
Audi,allroad quattro,250.0,6.0,200,3000,15,80,1,0.08333333333333333,1946,41.666666666666664
Audi,allroad quattro,300.0,8.0,200,3000,15,80,1,0.1,1946,37.5
Audi,allroad,220.0,4.0,200,3000,15,80,1,0.07333333333333333,1946,55.0
BMW,ALPINA B6 Gran Coupe,540.0,8.0,200,3000,15,80,1,0.18,1946,67.5
BMW,ALPINA B6 Gran Coupe,600.0,8.0,200,3000,15,80,1,0.2,1946,75.0
BMW,ALPINA B7,540.0,8.0,200,3000,15,80,1,0.18,1946,67.5
BMW,ALPINA B7,600.0,8.0,200,3000,15,80,1,0.2,1946,75.0
BMW,Alpina,375.0,8.0,200,3000,15,80,1,0.125,1946,46.875
Nissan,Altima Hybrid,198.0,4.0,200,3000,15,80,1,0.066,1946,49.5
Nissan,Altima Hybrid,158.0,4.0,200,3000,15,80,1,0.05266666666666667,1946,39.5
Nissan,Altima,182.0,4.0,200,3000,15,80,1,0.06066666666666667,1946,45.5
Nissan,Altima,270.0,6.0,200,3000,15,80,1,0.09,1946,45.0
Nissan,Altima,179.0,4.0,200,3000,15,80,1,0.059666666666666666,1946,44.75
Kia,Amanti,264.0,6.0,200,3000,15,80,1,0.088,1946,44.0
Mercedes-Benz,AMG GT,503.0,8.0,200,3000,15,80,1,0.16766666666666666,1946,62.875
Mercedes-Benz,AMG GT,456.0,8.0,200,3000,15,80,1,0.152,1946,57.0
Nissan,Armada,317.0,8.0,200,3000,15,80,1,0.10566666666666667,1946,39.625
Nissan,Armada,390.0,8.0,200,3000,15,80,1,0.13,1946,48.75
Bentley,Arnage,450.0,8.0,200,3000,15,80,1,0.15,1946,56.25
Bentley,Arnage,500.0,8.0,200,3000,15,80,1,0.16666666666666666,1946,62.5
Chrysler,Aspen,235.0,8.0,200,3000,15,80,1,0.07833333333333334,1946,29.375
Chrysler,Aspen,302.0,8.0,200,3000,15,80,1,0.10066666666666667,1946,37.75
Chrysler,Aspen,385.0,8.0,200,3000,15,80,1,0.12833333333333333,1946,48.125
Chrysler,Aspen,303.0,8.0,200,3000,15,80,1,0.101,1946,37.875
Ford,Aspire,63.0,4.0,200,3000,15,80,1,0.021,1946,15.75
Chevrolet,Astro Cargo,190.0,6.0,200,3000,15,80,1,0.06333333333333334,1946,31.666666666666668
Chevrolet,Astro,190.0,6.0,200,3000,15,80,1,0.06333333333333334,1946,31.666666666666668
Cadillac,ATS Coupe,321.0,6.0,200,3000,15,80,1,0.107,1946,53.5
Cadillac,ATS Coupe,272.0,4.0,200,3000,15,80,1,0.09066666666666667,1946,68.0
Cadillac,ATS Coupe,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
Cadillac,ATS-V,464.0,6.0,200,3000,15,80,1,0.15466666666666667,1946,77.33333333333333
Cadillac,ATS,272.0,4.0,200,3000,15,80,1,0.09066666666666667,1946,68.0
Cadillac,ATS,202.0,4.0,200,3000,15,80,1,0.06733333333333333,1946,50.5
Cadillac,ATS,321.0,6.0,200,3000,15,80,1,0.107,1946,53.5
Cadillac,ATS,335.0,6.0,200,3000,15,80,1,0.11166666666666666,1946,55.833333333333336
Oldsmobile,Aurora,250.0,8.0,200,3000,15,80,1,0.08333333333333333,1946,31.25
Oldsmobile,Aurora,215.0,6.0,200,3000,15,80,1,0.07166666666666667,1946,35.833333333333336
Chevrolet,Avalanche,320.0,8.0,200,3000,15,80,1,0.10666666666666667,1946,40.0
Toyota,Avalon Hybrid,200.0,4.0,200,3000,15,80,1,0.06666666666666667,1946,50.0
Toyota,Avalon,268.0,6.0,200,3000,15,80,1,0.08933333333333333,1946,44.666666666666664
Dodge,Avenger,283.0,6.0,200,3000,15,80,1,0.09433333333333334,1946,47.166666666666664
Dodge,Avenger,173.0,4.0,200,3000,15,80,1,0.057666666666666665,1946,43.25
Lamborghini,Aventador,700.0,12.0,200,3000,15,80,1,0.23333333333333334,1946,58.333333333333336
Lamborghini,Aventador,720.0,12.0,200,3000,15,80,1,0.24,1946,60.0
Lamborghini,Aventador,750.0,12.0,200,3000,15,80,1,0.25,1946,62.5
Chevrolet,Aveo,107.0,4.0,200,3000,15,80,1,0.035666666666666666,1946,26.75
Chevrolet,Aveo,108.0,4.0,200,3000,15,80,1,0.036,1946,27.0
Lincoln,Aviator,302.0,8.0,200,3000,15,80,1,0.10066666666666667,1946,37.75
Nissan,Axxess,138.0,4.0,200,3000,15,80,1,0.046,1946,34.5
Hyundai,Azera,293.0,6.0,200,3000,15,80,1,0.09766666666666667,1946,48.833333333333336
Pontiac,Aztek,185.0,6.0,200,3000,15,80,1,0.06166666666666667,1946,30.833333333333332
Bentley,Azure T,500.0,8.0,200,3000,15,80,1,0.16666666666666666,1946,62.5
Bentley,Azure,450.0,8.0,200,3000,15,80,1,0.15,1946,56.25
Mercedes-Benz,B-Class Electric Drive,177.0,0.0,200,3000,15,80,1,0.059,1946,inf
Mazda,B-Series Pickup,119.0,4.0,200,3000,15,80,1,0.03966666666666667,1946,29.75
Mazda,B-Series Pickup,160.0,6.0,200,3000,15,80,1,0.05333333333333334,1946,26.666666666666668
Mazda,B-Series Pickup,150.0,6.0,200,3000,15,80,1,0.05,1946,25.0
Mazda,B-Series Pickup,143.0,6.0,200,3000,15,80,1,0.04766666666666667,1946,23.833333333333332
Mazda,B-Series Truck,207.0,6.0,200,3000,15,80,1,0.069,1946,34.5
Mazda,B-Series Truck,148.0,6.0,200,3000,15,80,1,0.04933333333333333,1946,24.666666666666668
Mazda,B-Series Truck,143.0,4.0,200,3000,15,80,1,0.04766666666666667,1946,35.75
Mazda,B-Series,150.0,6.0,200,3000,15,80,1,0.05,1946,25.0
Mazda,B-Series,119.0,4.0,200,3000,15,80,1,0.03966666666666667,1946,29.75
Mazda,B-Series,207.0,6.0,200,3000,15,80,1,0.069,1946,34.5
Mazda,B-Series,140.0,4.0,200,3000,15,80,1,0.04666666666666667,1946,35.0
Subaru,B9 Tribeca,250.0,6.0,200,3000,15,80,1,0.08333333333333333,1946,41.666666666666664
Subaru,B9 Tribeca,245.0,6.0,200,3000,15,80,1,0.08166666666666667,1946,40.833333333333336
Subaru,Baja,165.0,4.0,200,3000,15,80,1,0.055,1946,41.25
Subaru,Baja,210.0,4.0,200,3000,15,80,1,0.07,1946,52.5
Volkswagen,Beetle Convertible,170.0,4.0,200,3000,15,80,1,0.056666666666666664,1946,42.5
